county_geoid,county_name,NAME,state_po,congressional_district_count,congressional_districts,elected_representatives,representative_parties,total_population,total_households,median_household_income,poverty_rate,county_rural_share,cws_service_area_count,cws_component_count,cws_service_area_sq_km,estimated_cws_service_population,estimated_cws_service_households,estimated_service_area_median_household_income,vulnerable_block_group_count
46029,Codington County,"Codington County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,28767,12526,72727,8.833386248985784,0.2712091791703442,5,20,933.3438632167266,3972,1557,88700.51318587612,0
34039,Union County,"Union County, New Jersey",NJ,4,NJ-07 / NJ-10 / NJ-08 / NJ-12,"THOMAS H. KEAN, JR. / LAMONICA MCIVER / ROBERT MENENDEZ / BONNIE WATSON COLEMAN",REPUBLICAN / DEMOCRAT,579290,203277,103202,9.17502909619455,0,1,5,0.47125698445688746,1418,773,64052,0
27081,Lincoln County,"Lincoln County, Minnesota",MN,1,MN-07,MICHELLE FISCHBACH,REPUBLICAN,5603,2445,69694,11.946902654867257,1,7,17,7.691652338625172,1570,670,69759.52070468027,0
46115,Spink County,"Spink County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,6219,2486,70139,10.052304674730305,1,13,54,11.385530937380404,2442,991,63547.62260461919,0
27151,Swift County,"Swift County, Minnesota",MN,1,MN-07,MICHELLE FISCHBACH,REPUBLICAN,9748,4121,60412,12.026772641706756,1,5,21,6.199865183896295,1321,565,65433.478785000116,0
46059,Hand County,"Hand County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,3140,1405,74635,5.150631681243926,1,3,8,11.641025848074854,1356,635,53656.80343275514,0
46025,Clark County,"Clark County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,3917,1336,70726,10.850052798310454,1,6,39,2062.7249068661627,3245,1129,70726,0
46097,Miner County,"Miner County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,2300,932,76140,11.241534988713319,1,5,40,1414.5326158205662,1667,676,76140,0
46021,Campbell County,"Campbell County, South Dakota",SD,1,SD-AL,DUSTY JOHNSON,REPUBLICAN,1593,754,68929,7.672955974842767,1,2,5,1.733441125797566,219,120,68929,0
13053,Chattahoochee County,"Chattahoochee County, Georgia",GA,1,GA-02,"SANFORD D. BISHOP, JR.",DEMOCRAT,8887,1866,61042,13.947610294117647,0.4008363826450601,1,9,10.831056677955944,1443,510,56211,0
26045,Eaton County,"Eaton County, Michigan",MI,2,MI-07 / MI-02,TOM BARRETT / JOHN R. MOOLENAAR,REPUBLICAN,109130,45428,79597,8.327038394464184,0.37984886649874056,11,69,19.934107357130145,7274,2809,80266.56675545732,0
26059,Hillsdale County,"Hillsdale County, Michigan",MI,1,MI-05,TIM WALBERG,REPUBLICAN,45654,17860,64242,14.372998387353215,0.7673676387006514,13,73,22.04396462327737,4932,1908,70428.57977407752,2
26087,Lapeer County,"Lapeer County, Michigan",MI,1,MI-09,LISA C. MCCLAIN,REPUBLICAN,88837,34836,77306,9.708559767031254,0.8594996558300139,15,83,20.901861234634303,6623,2656,83085.61845424314,0
26077,Kalamazoo County,"Kalamazoo County, Michigan",MI,2,MI-04 / MI-05,BILL HUIZENGA / TIM WALBERG,REPUBLICAN,262375,107110,72532,12.658490958220744,0.21638705239423703,17,100,22.2658067990522,10695,4203,86337.75907051937,2
26165,Wexford County,"Wexford County, Michigan",MI,2,MI-02 / MI-01,JOHN R. MOOLENAAR / JACK BERGMAN,REPUBLICAN,34077,13696,61085,13.91843705989872,0.6374543402726219,4,24,6.817092875079608,1453,557,56894.218575048406,0
27005,Becker County,"Becker County, Minnesota",MN,2,MN-07 / MN-08,MICHELLE FISCHBACH / PETE STAUBER,REPUBLICAN,35343,14410,71388,12.900622550149873,0.7091208822442657,9,34,7.808599387709202,1817,711,78146.02399699962,1
26143,Roscommon County,"Roscommon County, Michigan",MI,1,MI-01,JACK BERGMAN,REPUBLICAN,23737,11579,55246,15.540396503943722,0.43872287821305256,12,61,22.26632028216803,6524,3274,53525.82208447071,8
27029,Clearwater County,"Clearwater County, Minnesota",MN,1,MN-08,PETE STAUBER,REPUBLICAN,8616,3339,64475,12.57563174753826,1,3,12,13.511430872896295,1226,483,63605.49146303118,1
27105,Nobles County,"Nobles County, Minnesota",MN,1,MN-01,BRAD FINSTAD,REPUBLICAN,22041,7674,66101,14.000277507978355,0.38088829071332436,12,52,16.317339683700546,2212,824,75112.38386393692,0
27057,Hubbard County,"Hubbard County, Minnesota",MN,2,MN-08 / MN-07,PETE STAUBER / MICHELLE FISCHBACH,REPUBLICAN,21831,8964,71995,10.77436396496594,1,6,20,5.369773646124819,700,300,66730.79084113007,0
27141,Sherburne County,"Sherburne County, Minnesota",MN,1,MN-06,TOM EMMER,REPUBLICAN,100560,35555,105466,5.0931979201508195,0.5092866036240906,6,20,4.013632426574764,964,346,112980.3049692426,0
